examples/c/app/out/app.elf:1a0034b4 000000a4 t uartProcessIRQ
examples/c/app/out/app.elf:10002324 00000004 b rxIsrCallbackUART0
examples/c/app/out/app.elf:10002328 00000004 b rxIsrCallbackUART2
examples/c/app/out/app.elf:1000232c 00000004 b rxIsrCallbackUART3
examples/c/app/out/app.elf:10002330 00000004 b txIsrCallbackUART0
examples/c/app/out/app.elf:10002334 00000004 b txIsrCallbackUART2
examples/c/app/out/app.elf:10002338 00000004 b txIsrCallbackUART3
examples/c/app/out/app.elf:1a004dfc 00000048 t lpcUarts
examples/c/app/out/app.elf:100000a8 00000001 b debugPrint
examples/c/app/out/app.elf:1a000478 00000150 t srvKeysMef
examples/c/app/out/app.elf:100000bc 00000014 b bKEY_ABA_LONG.14381
examples/c/app/out/app.elf:100000d0 00000014 b bKEY_ARR_LONG.14382
examples/c/app/out/app.elf:100000e4 000000a0 b teclas
examples/c/app/out/app.elf:10000000 00000004 d nKEYS
examples/c/app/out/app.elf:1000018c 00000004 b heap_end.5778
examples/c/app/out/app.elf:1a000bd8 00000064 t prvHeapInit
examples/c/app/out/app.elf:10000194 00002000 b ucHeap
examples/c/app/out/app.elf:1a000c3c 00000058 t prvInsertBlockIntoFreeList
examples/c/app/out/app.elf:10000190 00000004 b pxEnd
examples/c/app/out/app.elf:10002194 00000004 b xBlockAllocatedBit
examples/c/app/out/app.elf:10002198 00000004 b xFreeBytesRemaining
examples/c/app/out/app.elf:1000219c 00000004 b xMinimumEverFreeBytesRemaining
examples/c/app/out/app.elf:100021a0 00000008 b xStart
examples/c/app/out/app.elf:1a000e20 0000001e t prvIsQueueFull
examples/c/app/out/app.elf:1a000e3e 0000001a t prvIsQueueEmpty
examples/c/app/out/app.elf:1a000e58 00000076 t prvCopyDataToQueue
examples/c/app/out/app.elf:1a000ece 00000024 t prvCopyDataFromQueue
examples/c/app/out/app.elf:1a000ef2 0000006e t prvUnlockQueue
examples/c/app/out/app.elf:1a000fe4 00000022 t prvInitialiseNewQueue
examples/c/app/out/app.elf:1a001560 0000002c t prvResetNextTaskUnblockTime
examples/c/app/out/app.elf:1a00158c 00000012 t prvDeleteTCB
examples/c/app/out/app.elf:1a00159e 00000092 t prvInitialiseNewTask
examples/c/app/out/app.elf:1a001630 00000068 t prvInitialiseTaskLists
examples/c/app/out/app.elf:1a001698 000000ac t prvAddNewTaskToReadyList
examples/c/app/out/app.elf:1a001744 0000004c t prvCheckTasksWaitingTermination
examples/c/app/out/app.elf:1a001790 00000028 t prvIdleTask
examples/c/app/out/app.elf:1a0017b8 00000098 t prvAddCurrentTaskToDelayedList
examples/c/app/out/app.elf:100021ac 00000004 b pxDelayedTaskList
examples/c/app/out/app.elf:100021b0 00000004 b pxOverflowDelayedTaskList
examples/c/app/out/app.elf:100021b4 0000008c b pxReadyTasksLists
examples/c/app/out/app.elf:10002240 00000004 b uxCurrentNumberOfTasks
examples/c/app/out/app.elf:10002244 00000004 b uxDeletedTasksWaitingCleanUp
examples/c/app/out/app.elf:10002248 00000004 b uxPendedTicks
examples/c/app/out/app.elf:1000224c 00000004 b uxSchedulerSuspended
examples/c/app/out/app.elf:10002250 00000004 b uxTaskNumber
examples/c/app/out/app.elf:10002254 00000004 b uxTopReadyPriority
examples/c/app/out/app.elf:10002258 00000014 b xDelayedTaskList1
examples/c/app/out/app.elf:1000226c 00000014 b xDelayedTaskList2
examples/c/app/out/app.elf:10002280 00000004 b xIdleTaskHandle
examples/c/app/out/app.elf:10002284 00000004 b xNextTaskUnblockTime
examples/c/app/out/app.elf:10002288 00000004 b xNumOfOverflows
examples/c/app/out/app.elf:1000228c 00000014 b xPendingReadyList
examples/c/app/out/app.elf:100022a0 00000004 b xSchedulerRunning
examples/c/app/out/app.elf:100022a4 00000014 b xSuspendedTaskList
examples/c/app/out/app.elf:100022b8 00000014 b xTasksWaitingTermination
examples/c/app/out/app.elf:100022cc 00000004 b xTickCount
examples/c/app/out/app.elf:100022d0 00000004 b xYieldPending
examples/c/app/out/app.elf:1a001f80 00000020 t prvGetNextExpireTime
examples/c/app/out/app.elf:1a001fa0 00000048 t prvInsertTimerInActiveList
examples/c/app/out/app.elf:1a001fe8 0000005c t prvCheckForValidListAndQueue
examples/c/app/out/app.elf:1a00236c 00000016 t prvTimerTask
examples/c/app/out/app.elf:1a002100 00000078 t prvSwitchTimerLists
examples/c/app/out/app.elf:1a002178 0000002c t prvSampleTimeNow
examples/c/app/out/app.elf:1a0021a4 00000060 t prvProcessExpiredTimer
examples/c/app/out/app.elf:1a002204 00000074 t prvProcessTimerOrBlockTask
examples/c/app/out/app.elf:1a002278 000000f4 t prvProcessReceivedCommands
examples/c/app/out/app.elf:100022d4 00000004 b pxCurrentTimerList
examples/c/app/out/app.elf:100022d8 00000004 b pxOverflowTimerList
examples/c/app/out/app.elf:100022dc 00000014 b xActiveTimerList1
examples/c/app/out/app.elf:100022f0 00000014 b xActiveTimerList2
examples/c/app/out/app.elf:10002304 00000004 b xLastTime.11732
examples/c/app/out/app.elf:10002308 00000004 b xTimerQueue
examples/c/app/out/app.elf:1000230c 00000004 b xTimerTaskHandle
examples/c/app/out/app.elf:1a002384 00000040 t prvTaskExitError
examples/c/app/out/app.elf:1a0023c4 00000022 t prvPortStartFirstTask
examples/c/app/out/app.elf:1a0023ec 0000000e t vPortEnableVFP
examples/c/app/out/app.elf:1a002450 t pxCurrentTCBConst2
examples/c/app/out/app.elf:1a002530 t pxCurrentTCBConst
examples/c/app/out/app.elf:10002310 00000001 b ucMaxSysCallPriority
examples/c/app/out/app.elf:10002314 00000004 b ulMaxPRIGROUPValue
examples/c/app/out/app.elf:10000004 00000004 d uxCriticalNesting
examples/c/app/out/app.elf:1a002724 00000044 t Board_LED_Init
examples/c/app/out/app.elf:1a002768 00000040 t Board_TEC_Init
examples/c/app/out/app.elf:1a0027a8 00000040 t Board_GPIO_Init
